Arrival_or_Departure,Date_End_of_Quater,Year_Text,No_of_Visitors_to_Kenya,Visitors_by_Purpose,Period_Quater,Results_Status,OBJECTID
Departures,09/30/2000 12:00:00 AM,2000,211100,Visitors on Holiday,Q3,Actual,184
Departures,09/30/2011 12:00:00 AM,2011,322800,Visitors on Holiday,Q3,Actual,185
Departures,09/30/2001 12:00:00 AM,2001,184700,Visitors on Holiday,Q3,Actual,186
Departures,12/31/2011 12:00:00 AM,2011,314200,Visitors on Holiday,Q4,Actual,187
Departures,09/30/2002 12:00:00 AM,2002,194100,Visitors on Holiday,Q3,Actual,188
Departures,03/31/2012 12:00:00 AM,2012,281700,Visitors on Holiday,Q1,Actual,189
Departures,09/30/2003 12:00:00 AM,2003,183900,Visitors on Holiday,Q3,Actual,190
Departures,06/30/2012 12:00:00 AM,2012,216000,Visitors on Holiday,Q2,Actual,191
Departures,09/30/2004 12:00:00 AM,2004*,239300,Visitors on Holiday,Q3,Preliminary ,192
Departures,09/30/2012 12:00:00 AM,2012,297600,Visitors on Holiday,Q3,Actual,193
Departures,09/30/2005 12:00:00 AM,2005,279300,Visitors on Holiday,Q3,Actual,194
Departures,12/31/2012 12:00:00 AM,2012,289400,Visitors on Holiday,Q4,Actual,195
Departures,09/30/2006 12:00:00 AM,2006,274900,Visitors on Holiday,Q3,Actual,196
Departures,03/31/2013 12:00:00 AM,2013,264000,Visitors on Holiday,Q1,Actual,197
Departures,09/30/2007 12:00:00 AM,2007,352600,Visitors on Holiday,Q3,Actual,198
Departures,06/30/2013 12:00:00 AM,2013,206800,Visitors on Holiday,Q2,Actual,199
Departures,09/30/2008 12:00:00 AM,2008,251500,Visitors on Holiday,Q3,Actual,200
Departures,09/30/2013 12:00:00 AM,2013,265700,Visitors on Holiday,Q3,Actual,201
Departures,09/30/2009 12:00:00 AM,2009*,282000,Visitors on Holiday,Q3,Preliminary ,202
Departures,12/31/2013 12:00:00 AM,2013,323300,Visitors on Holiday,Q4,Actual,203
Departures,12/31/1991 12:00:00 AM,1991,142800,Visitors on Holiday,Q4,Actual,204
Departures,12/31/1992 12:00:00 AM,1992,61800,Visitors on Holiday,Q4,Actual,205
Departures,12/31/1993 12:00:00 AM,1993,113600,Visitors on Holiday,Q4,Actual,206
Departures,12/31/1994 12:00:00 AM,1994,123400,Visitors on Holiday,Q4,Actual,207
Arrivals,03/31/2005 12:00:00 AM,2005,516000,Visitors on Business,Q1,Actual,208
Arrivals,06/30/1991 12:00:00 AM,1991,16600,Visitors on Business,Q2,Actual,209
Arrivals,09/30/1991 12:00:00 AM,1991,23100,Visitors on Business,Q3,Actual,210
Arrivals,12/31/1991 12:00:00 AM,1991,20000,Visitors on Business,Q4,Actual,211
Arrivals,03/31/1992 12:00:00 AM,1992,39100,Visitors on Business,Q1,Actual,212
Arrivals,06/30/1992 12:00:00 AM,1992,27300,Visitors on Business,Q2,Actual,213
Arrivals,09/30/1992 12:00:00 AM,1992,19300,Visitors on Business,Q3,Actual,214
Arrivals,12/31/1992 12:00:00 AM,1992,23600,Visitors on Business,Q4,Actual,215
Arrivals,03/31/1993 12:00:00 AM,1993,26200,Visitors on Business,Q1,Actual,216
Arrivals,06/30/1993 12:00:00 AM,1993,23700,Visitors on Business,Q2,Actual,217
Arrivals,09/30/1993 12:00:00 AM,1993,20000,Visitors on Business,Q3,Actual,218
Arrivals,12/31/1993 12:00:00 AM,1993,27700,Visitors on Business,Q4,Actual,219
Arrivals,03/31/1994 12:00:00 AM,1994,60800,Visitors on Business,Q1,Actual,220
Arrivals,06/30/1994 12:00:00 AM,1994,21500,Visitors on Business,Q2,Actual,221
Arrivals,09/30/1994 12:00:00 AM,1994,18200,Visitors on Business,Q3,Actual,222
Arrivals,12/31/1994 12:00:00 AM,1994,22100,Visitors on Business,Q4,Actual,223
Arrivals,03/31/1995 12:00:00 AM,1995,26900,Visitors on Business,Q1,Actual,224
Arrivals,06/30/1995 12:00:00 AM,1995,23000,Visitors on Business,Q2,Actual,225
Arrivals,09/30/1995 12:00:00 AM,1995,25100,Visitors on Business,Q3,Actual,226
Arrivals,12/31/1995 12:00:00 AM,1995,25500,Visitors on Business,Q4,Actual,227
Arrivals,03/31/1996 12:00:00 AM,1996,27000,Visitors on Business,Q1,Actual,228
Arrivals,06/30/1996 12:00:00 AM,1996,22100,Visitors on Business,Q2,Actual,229
Arrivals,09/30/1996 12:00:00 AM,1996,26800,Visitors on Business,Q3,Actual,230
Arrivals,12/31/1996 12:00:00 AM,1996,27800,Visitors on Business,Q4,Actual,231
Arrivals,03/31/1997 12:00:00 AM,1997,29500,Visitors on Business,Q1,Actual,232
Arrivals,06/30/1997 12:00:00 AM,1997,22300,Visitors on Business,Q2,Actual,233
Arrivals,09/30/1997 12:00:00 AM,1997,26500,Visitors on Business,Q3,Actual,234
Arrivals,12/31/1997 12:00:00 AM,1997,23400,Visitors on Business,Q4,Actual,235
Arrivals,03/31/1998 12:00:00 AM,1998,24400,Visitors on Business,Q1,Actual,236
Arrivals,06/30/1998 12:00:00 AM,1998,18900,Visitors on Business,Q2,Actual,237
Arrivals,09/30/1998 12:00:00 AM,1998,22200,Visitors on Business,Q3,Actual,238
Arrivals,12/31/1998 12:00:00 AM,1998,21300,Visitors on Business,Q4,Actual,239
Arrivals,03/31/1999 12:00:00 AM,1999,24500,Visitors on Business,Q1,Actual,240
Arrivals,06/30/1999 12:00:00 AM,1999,20700,Visitors on Business,Q2,Actual,241
Arrivals,09/30/1999 12:00:00 AM,1999,26200,Visitors on Business,Q3,Actual,242
Arrivals,12/31/1999 12:00:00 AM,1999,23000,Visitors on Business,Q4,Actual,243
Arrivals,03/31/2000 12:00:00 AM,2000,24600,Visitors on Business,Q1,Actual,244
Arrivals,06/30/2000 12:00:00 AM,2000,20900,Visitors on Business,Q2,Actual,245
Arrivals,09/30/2000 12:00:00 AM,2000,26600,Visitors on Business,Q3,Actual,246
Arrivals,12/31/2000 12:00:00 AM,2000,26200,Visitors on Business,Q4,Actual,247
Arrivals,03/31/2001 12:00:00 AM,2001,25300,Visitors on Business,Q1,Actual,248
Arrivals,06/30/2001 12:00:00 AM,2001,18900,Visitors on Business,Q2,Actual,249
Arrivals,10/01/2000 12:00:00 AM,2001,23300,Visitors on Business,Q3,Actual,250
Arrivals,12/31/2001 12:00:00 AM,2001,24600,Visitors on Business,Q4,Actual,251
Arrivals,03/31/2002 12:00:00 AM,2002,26100,Visitors on Business,Q1,Actual,252
Arrivals,06/30/2002 12:00:00 AM,2002,17100,Visitors on Business,Q2,Actual,253
Arrivals,10/02/2000 12:00:00 AM,2002,20400,Visitors on Business,Q3,Actual,254
Arrivals,12/31/2002 12:00:00 AM,2002,23000,Visitors on Business,Q4,Actual,255
Arrivals,03/31/2003 12:00:00 AM,2003,34700,Visitors on Business,Q1,Actual,256
Arrivals,06/30/2003 12:00:00 AM,2003,44700,Visitors on Business,Q2,Actual,257
Arrivals,10/03/2000 12:00:00 AM,2003,53400,Visitors on Business,Q3,Actual,258
Arrivals,12/31/2003 12:00:00 AM,2003,49300,Visitors on Business,Q4,Actual,259
Arrivals,03/31/1991 12:00:00 AM,1991,17900,Visitors on Business,Q1,Actual,260
